Abbrev	corrected	Genus	Spec	Family	Order	Class	Phylum	Name	hymenia	morf	Lifestyle	originalTrait	Clade	dataset	0
Bjead1_1	ballistospory	Bjerkandera	adusta	Phanerochaetaceae	Polyporales	Agaricomycetes	Basidiomycota	Bjerkandera adusta v1.0	poroid	bracket		ballistospory	0	JGI202304	141
Abobie1	ballistospory	Abortiporus	biennis	Podoscyphaceae	Polyporales	Agaricomycetes	Basidiomycota	Abortiporus biennis ​CIRM-BRFM 1778 v1.0	poroid	bracket		ballistospory	0	JGI202304	142
Artele1122_1	ballistospory	Artolenzites	elegans	Polyporaceae	Polyporales	Agaricomycetes	Basidiomycota	Artolenzites elegans CIRM-BRFM 1122 v1.0	lamellate	bracket		ballistospory	0	JGI202304	143
Dicsqu18370_1	ballistospory	Dichomitus	squalens	Polyporaceae	Polyporales	Agaricomycetes	Basidiomycota	Dichomitus squalens OM18370.1 v1.0	poroid	bracket		ballistospory	0	JGI202304	144
Ganbon1	ballistospory	Ganoderma	boninense	Polyporaceae	Polyporales	Agaricomycetes	Basidiomycota	Ganoderma boninense G3 v1.0	poroid	bracket		ballistospory	0	JGI202304	145
Ganluc1	ballistospory	Ganoderma	lucidum	Polyporaceae	Polyporales	Agaricomycetes	Basidiomycota	Ganoderma lucidum G.260125-1 v1.0	poroid	bracket		ballistospory	0	JGI202304	146
Gansi1	ballistospory	Ganoderma	sinense	Polyporaceae	Polyporales	Agaricomycetes	Basidiomycota	Ganoderma sinense ZZ0214-1	poroid	bracket		ballistospory	0	JGI202304	147
Gansp1	ballistospory	Ganoderma	sp.	Polyporaceae	Polyporales	Agaricomycetes	Basidiomycota	Ganoderma sp. 10597 SS1 v1.0	poroid	bracket		ballistospory	0	JGI202304	148
Tramen1	ballistospory	Leiotrametes	menziesii	Polyporaceae	Polyporales	Agaricomycetes	Basidiomycota	Leiotrametes menziesii CIRM-BRFM 1781 v1.0	poroid	bracket		ballistospory	0	JGI202304	149
Leisp1	ballistospory	Leiotrametes	sp.	Polyporaceae	Polyporales	Agaricomycetes	Basidiomycota	Leiotrametes sp. CIRM-BRFM 1775 v1.0	poroid	bracket		ballistospory	0	JGI202304	150
Pycco1	ballistospory	Pycnoporus	coccineus	Polyporaceae	Polyporales	Agaricomycetes	Basidiomycota	Pycnoporus coccineus CIRM-BRFM 310 v1.0	poroid	bracket		ballistospory	0	JGI202304	151
